id,nama,kode,tingkat
191400,Barito Timur,6213,2
191392,Barito Utara,6205,2
191397,Gunung Mas,6210,2
191390,Kapuas,6203,2
191393,Katingan,6206,2
164830,Kota Palangkaraya,6271,2
163157,Kotawaringin Barat,6201,2
191389,Kotawaringin Timur,6202,2
191396,Lamandau,6209,2
191399,Murung Raya,6212,2
191398,Pulang Pisau,6211,2
191394,Seruyan,6207,2
191395,Sukamara,6208,2
191452,Berau,6403,2
191457,Kota Balikpapan,6471,2
168174,Kota Bontang,6474,2
191458,Kota Samarinda,6472,2
191453,Kutai Barat,6407,2
191451,Kutai Kartanegara,6402,2
191454,Kutai Timur,6408,2
191456,Mahakam Ulu,6411,2
167006,Paser,6401,2
191455,Penajam Paser Utara,6409,2
168175,Bulungan,6501,2
168683,Kota Tarakan,6571,2
191459,Malinau,6502,2
191460,Nunukan,6503,2
191461,Tana Tidung,6504,2
126661,Bangka,1901,2
191262,Bangka Barat,1905,2
191260,Bangka Selatan,1903,2
191261,Bangka Tengah,1904,2
191259,Belitung,1902,2
191263,Belitung Timur,1906,2
191264,Kota Pangkal Pinang,1971,2
121936,Bintan,2101,2
191231,Karimun,2102,2
191234,Kepulauan Anambas,2105,2
191230,Kota Batam,2171,2
127557,Kota Tanjung Pinang,2172,2
191233,Lingga,2104,2
191232,Natuna,2103,2
191258,Kota Bandar Lampung,1871,2
126660,Kota Metro,1872,2
191248,Lampung Barat,1804,2
191245,Lampung Selatan,1801,2
191246,Lampung Tengah,1802,2
191251,Lampung Timur,1807,2
191247,Lampung Utara,1803,2
191255,Mesuji,1811,2
191253,Pesawaran,1809,2
191257,Pesisir Barat,1813,2
191254,Pringsewu,1810,2
191250,Tanggamus,1806,2
191249,Tulang Bawang,1805,2
191256,Tulang Bawang Barat,1812,2
191252,Way Kanan,1808,2
191536,Buru,8104,2
191541,Buru Selatan,8109,2
191539,Kepulauan Aru,8107,2
191535,Kepulauan Tanimbar,8103,2
191542,Kota Ambon,8171,2
191543,Kota Tual,8172,2
191540,Maluku Barat Daya,8108,2
180295,Maluku Tengah,8101,2
191534,Maluku Tenggara,8102,2
191538,Seram Bagian Barat,8106,2
191537,Seram Bagian Timur,8105,2
191545,Halmahera Barat,8201,2
191548,Halmahera Selatan,8204,2
191546,Halmahera Tengah,8202,2
191550,Halmahera Timur,8206,2
191547,Halmahera Utara,8203,2
191549,Kepulauan Sula,8205,2
