id,nama,kode,tingkat
105320,Dabun Gelang,111308,3
105236,Kutapanjang,111302,3
105353,Pantan Cuaca,111311,3
105287,Pining,111305,3
105310,Puteri Betung,111307,3
105249,Rikit Gaib,111303,3
105263,Terangun,111304,3
105341,Teripe Jaya,111310,3
106447,Baiturrahman,117101,3
106515,Banda Raya,117107,3
106526,Jaya Baru,117108,3
106458,Kuta Alam,117102,3
106508,Kuta Raja,117106,3
106498,Lueng Bata,117105,3
106470,Meuraxa,117103,3
106487,Syiah Kuala,117104,3
106536,Ulee Kareng,117109,3
106657,Langsa Barat,117402,3
106699,Langsa Baro,117405,3
106671,Langsa Kota,117403,3
106682,Langsa Lama,117404,3
106640,Langsa Timur,117401,3
106585,Banda Sakti,117302,3
106604,Blang Mangat,117303,3
106567,Muara Dua,117301,3
106627,Muara Satu,117304,3
106552,Sukajaya,117202,3
106546,Sukakarya,117201,3
106560,Sukamakmue,117203,3
106789,Longkib,117505,3
106730,Penanggalan,117502,3
106745,Rundeng,117503,3
106712,Simpang Kiri,117501,3
106769,Sultan Daulat,117504,3
105604,Beutong,111504,3
105743,Beutong Ateuh Banggalang,111510,3
105629,Darul Makmur,111505,3
105515,Kuala,111501,3
105691,Kuala Pesisir,111507,3
105533,Seunagan,111502,3
105569,Seunagan Timur,111503,3
105670,Suka Makmue,111506,3
105708,Tadu Raya,111508,3
105731,Tripa Makmur,111509,3
102491,Batee,110703,3
102521,Delima,110704,3
102566,Geumpang,110705,3
103208,Glumpang Baro,110729,3
102572,Glumpang Tiga,110706,3
103187,Grong-grong,110725,3
102607,Indrajaya,110707,3
102657,Kembang Tanjong,110708,3
102449,Keumala,110722,3
102703,Kota Sigli,110709,3
103203,Mane,110727,3
102719,Mila,110711,3
102740,Muara Tiga,110712,3
102759,Mutiara,110713,3
103138,Mutiara Timur,110724,3
102789,Padang Tiji,110714,3
102854,Peukan Baro,110715,3
102903,Pidie,110716,3
102968,Sakti,110717,3
103018,Simpang Tiga,110718,3
103071,Tangse,110719,3
103100,Tiro/truseb,110721,3
103230,Titeue,110731,3
106364,Bandar Baru,111806,3
106298,Bandar Dua,111804,3
106279,Jangka Buya,111803,3
106344,Meurah Dua,111805,3
106217,Meureudu,111801,3
106408,Panteraja,111807,3
106419,Trienggadeng,111808,3
106248,Ulim,111802,3
104240,Alafan,110908,3
104140,Salang,110902,3
104205,Simeulue Barat,110906,3
104262,Simeulue Cut,110910,3
104123,Simeulue Tengah,110901,3
104176,Simeulue Timur,110904,3
104194,Teluk Dalam,110905,3
104157,Teupah Barat,110903,3
104220,Teupah Selatan,110907,3
104249,Teupah Tengah,110909,3
155206,Abiansemal,510303,3
155179,Kuta,510301,3
153311,Kuta Selatan,510305,3
155239,Kuta Utara,510306,3
155185,Mengwi,510302,3
155225,Petang,510304,3
155398,Bangli,510602,3
155415,Kintamani,510604,3
155388,Susut,510601,3
155408,Tembuku,510603,3
155603,Banjar,510804,3
155638,Buleleng,510806,3
155587,Busungbiu,510803,3
155550,Gerokgak,510801,3
155683,Kubutambahan,510808,3
155668,Sawan,510807,3
155565,Seririt,510802,3
155621,Sukasada,510805,3
155697,Tejakula,510809,3
155259,Blahbatuh,510402,3
155269,Gianyar,510403,3
155314,Payangan,510407,3
155246,Sukawati,510401,3
155287,Tampaksiring,510404,3
155306,Tegallalang,510406,3
155297,Ubud,510405,3
155025,Jembrana,510105,3
155014,Melaya,510104,3
154992,Mendoyo,510102,3
154979,Negara,510101,3
155004,Pekutatan,510103,3
155507,Abang,510705,3
155522,Bebandem,510706,3
155495,Karangasem,510704,3
155540,Kubu,510708,3
155482,Manggis,510703,3
155464,Rendang,510701,3
155531,Selat,510707,3
155471,Sidemen,510702,3
155341,Banjarangkan,510502,3
155375,Dawan,510504,3
155356,Klungkung,510503,3
155324,Nusa Penida,510501,3
155731,Denpasar Barat,517103,3
155708,Denpasar Selatan,517101,3
155719,Denpasar Timur,517102,3
153879,Denpasar Utara,517104,3
155151,Baturiti,510209,3
155099,Kediri,510206,3
155070,Kerambitan,510204,3
155115,Marga,510207,3
155132,Penebel,510208,3
155164,Pupuan,510210,3
155036,Selemadeg,510201,3
155058,Selemadeg Barat,510203,3
155047,Selemadeg Timur,510202,3
155086,Tabanan,510205,3
154794,Cibeber,367201,3
154801,Cilegon,367202,3
154837,Citangkil,367208,3
154812,Ciwandan,367204,3
154825,Gerogol,367206,3
154819,Jombang,367205,3
154807,Pulomerak,367203,3
154830,Purwakarta,367207,3
154895,Cipocok Jaya,367305,3
154884,Curug,367304,3
154858,Kasemen,367302,3
154845,Serang,367301,3
154904,Taktakan,367306,3
154869,Walantaka,367303,3
154693,Batuceper,367103,3
154701,Benda,367104,3
154750,Cibodas,367109,3
154718,Ciledug,367106,3
154707,Cipondoh,367105,3
154686,Jatiuwung,367102,3
154777,Karang Tengah,367112,3
154727,Karawaci,367107,3
154785,Larangan,367113,3
154757,Neglasari,367110,3
154744,Periuk,367108,3
154765,Pinang,367111,3
152248,Tangerang,367101,3
154948,Ciputat,367404,3
154956,Ciputat Timur,367405,3
154963,Pamulang,367406,3
154936,Pondok Aren,367403,3
154918,Serpong,367401,3
154928,Serpong Utara,367402,3
154972,Setu,367407,3
153750,Banjarsari,360209,3
153674,Bayah,360203,3
153727,Bojongmanik,360207,3
153890,Cibadak,360218,3
153906,Cibeber,360219,3
154013,Cigemlong,360228,3
153991,Cihara,360226,3
153863,Cijaku,360216,3
153875,Cikulur,360217,3
153771,Cileles,360210,3
153929,Cilograng,360220,3
153784,Cimarga,360211,3
153686,Cipanas,360204,3
154002,Cirinten,360227,3
153965,Curug Bitung,360223,3
153737,Gunungkencana,360208,3
153976,Kalanganyar,360224,3
153984,Lebakgedong,360225,3
153714,Leuwidamar,360206,3
